// (Puzzle) (hToUse)

// 2
142305678 1
142305678 2
142305678 1
142305678 2
120345678 1
120345678 2
312645078 1
312645078 2
312645078 1
312645078 2
142305678 1
142305678 2
120345678 1
120345678 2
312645078 1
312645078 2
312405678 1
312405678 2
312405678 1
312405678 2

// 4
125348670 1
125348670 2
125304678 1
125304678 2
142635078 1
142635078 2
140352678 1
140352678 2
142358670 1
142358670 2
142375068 1
142375068 2
142375680 1
142375680 2
032415678 1
032415678 2
320415678 1
320415678 2
310452678 1
310452678 2

// 6
142307685 1
142307685 2
320615748 1
320615748 2
125348067 1
125348067 2
312408657 1
312408657 2
142705368 1
142705368 2
154302678 1
154302678 2
312705468 1
312705468 2
125308647 1
125308647 2
312658740 1
312658740 2
312458067 1
312458067 2

// 8
125408367 1
125408367 2
235104678 1
235104678 2
142603785 1
142603785 2
154632078 1
154632078 2
162305748 1
162305748 2
120348657 1
120348657 2
472105368 1
472105368 2
174302685 1
174302685 2
325408617 1
325408617 2
431502678 1
431502678 2

// 10
127345680 1
127345680 2
534102678 1
534102678 2
235614078 1
235614078 2
142608753 1
142608753 2
312758046 1
312758046 2
351702468 1
351702468 2
142607835 1
142607835 2
314672085 1
314672085 2
125468037 1
125468037 2
310682754 1
310682754 2

// 12
025168437 1
025168437 2
035274168 1
035274168 2
420163785 1
420163785 2
154603782 1
154603782 2
128307645 1
128307645 2
472158036 1
472158036 2
174602835 1
174602835 2
358402617 1
358402617 2
541632078 1
541632078 2
162734085 1
162734085 2

// 14
254108376 1
254108376 2
370452168 1
370452168 2
031642857 1
031642857 2
152438670 1
152438670 2
512308647 1
512308647 2
341658072 1
341658072 2
063421785 1
063421785 2
258147036 1
258147036 2
124653078 1
124653078 2
480172365 1
480172365 2

// 16
063541782 1
063541782 2
610235784 1
610235784 2
258307164 1
258307164 2
782105364 1
782105364 2
015627348 1
015627348 2
342715068 1
342715068 2
312754068 1
312754068 2
320674815 1
320674815 2
140673852 1
140673852 2
650134728 1
650134728 2

// 20
584127630 1
584127630 2
351608472 1
351608472 2
058276134 1
058276134 2
435267018 1
435267018 2
258603174 1
258603174 2
023187654 1
023187654 2
542807316 1
542807316 2
420138765 1
420138765 2
361405827 1
361405827 2
163725840 1
163725840 2
